name,price,rating
Woodford Reserve Distiller's Select,£29.95,"5


(100 Reviews)"
"Booker's Bourbon
(62.4%)",£72.95,"4


(1 Review)"
Eagle Rare 10 Year Old,£35.45,"4.5


(55 Reviews)"
Buffalo Trace Bourbon,£26.95,"4.5


(74 Reviews)"
Four Roses Single Barrel Bourbon,£41.95,"4.5


(31 Reviews)"
"Angel's Envy Bourbon
Port Finish",£57.45,"5


(33 Reviews)"
"Michter's US*1 Small Batch Bourbon
Gift Box",£55.95,"5


(2 Reviews)"
Four Roses Small Batch Bourbon,£31.95,"5


(35 Reviews)"
Wild Turkey 101,£32.95,"5


(68 Reviews)"
Knob Creek 9 Year Old,£33.45,"4.5


(3 Reviews)"
"Evan Williams White Label
Bottled in Bond",£36.95,"5


(8 Reviews)"
Noah's Mill Bourbon,£74.95,no rating
Bulleit Bourbon Whiskey,£29.95,"4.5


(37 Reviews)"
Yellowstone Select,£46.95,"5


(3 Reviews)"
Horse With No Name Bourbon with Habanero Spirit,£36.95,"3.5


(3 Reviews)"
Woodford Reserve Double Oaked,£61.45,"5


(18 Reviews)"
Maker's Mark,£26.45,"4.5


(82 Reviews)"
American Barrels Bourbon,£54.95,no rating
"Wild Turkey Rare Breed
Barrel Proof",£53.95,"4.5


(3 Reviews)"
E. H. Taylor Small Batch,£99.95,"5


(5 Reviews)"
Frey Ranch Bourbon,£54.95,"5


(2 Reviews)"
Maker's 46 Bourbon,£37.95,"4.5


(11 Reviews)"
"Elijah Craig 12 Year Old Barrel Proof
(68.3%)",£115,no rating
Wild Turkey Longbranch,£38.45,"4


(14 Reviews)"
Bulleit 10 Year Old Bourbon,£39.95,"4


(3 Reviews)"
Elijah Craig Small Batch,£45.75,"4.5


(7 Reviews)"
Never Say Die Barrel Strength Bourbon,£78.95,no rating
James Cree's Cattle Ranch 3 Year Old Bourbon,£19.75,"5


(1 Review)"
Basil Hayden's Bourbon,£43.95,"5


(4 Reviews)"
1792 Small Batch,£41.45,"4.5


(6 Reviews)"
FEW Bourbon,£51.45,"4.5


(16 Reviews)"
Jim Beam Single Barrel,£38.95,"5


(2 Reviews)"
Jim Beam Double Oak,£27.45,"5


(25 Reviews)"
Duke Bourbon,£54.95,"4.5


(6 Reviews)"
Henry McKenna,£34.95,"4.5


(2 Reviews)"
Old Forester Bourbon,£25.95,"4.5


(5 Reviews)"
Legent Bourbon,£47.95,"4.5


(3 Reviews)"
Jim Beam Devil's Cut Bourbon,£26.45,"4.5


(87 Reviews)"
"Four Roses Original
(Yellow Label) Bourbon",£23.95,"3.5


(24 Reviews)"
Rebel 100 Bourbon,£39.95,no rating
"Four Roses Original (Yellow Label) Bourbon
Litre",£33.95,no rating
"Boondocks 8 Year Old Bourbon
Port Cask Finish",£66.25,"5


(2 Reviews)"
"Willett's Pot Still Reserve Single Barrel Bourbon
Magnum",£137,"5


(5 Reviews)"
"Woodford Reserve Distiller's Select Holiday Edition
2022 Release",£39.95,no rating
Sadler's Peaky Blinder Bourbon,£22.25,"4


(3 Reviews)"
Wyoming Small Batch,£74.95,"5


(2 Reviews)"
Larceny 92 Proof,£47.45,"5


(2 Reviews)"
Wild Turkey Russell's Reserve Rye 6 Year Old,£64.95,"5
 

(5 Reviews)"
Rebel Straight Bourbon,£30.45,"4.5


(8 Reviews)"
Jim Beam White Label,£19.45,"4


(48 Reviews)"
Rabbit Hole Heigold Straight Bourbon,£50.95,no rating
Kentucky Owl Confiscated Bourbon,£110,no rating
"New Riff Single Barrel
Barrel Proof Bourbon (51.35%)",£66.95,"5


(1 Review)"
"Maker's Mark Cask Strength
(55.05%)",£69.95,no rating
Heaven's Door Tennessee Bourbon,£77.75,"5


(1 Review)"
"Kopper Kettle Virginia Straight Bourbon Whiskey
Belmont Farm",£42.45,no rating
"Whiskey Thief Bourbon
3 Year Old",£26.95,"4


(2 Reviews)"
Koval Bourbon,£49.95,"4


(3 Reviews)"
